feature,ofat,augmented
Power,1.496437521253517,1.3918552458340172
Cycles,5.82947866957781,7.245089008096568
Chuck T,0.5595423406996642,0.3787271064812115
O2 Flow,0.8615610603707721,0.7170545900843462
Dose Time,0.6467777336365451,0.3304927339566184
