n_total,median,q25,q75,model
50,0.6785822373223225,0.6734146609361576,0.6837800850623015,XGBoost
51,0.7239608555413546,0.7239608374585479,0.7239608903935822,GPR
51,0.7583217395861344,0.7548840925885455,0.7651632761776966,Random Forest
51,0.7137594041876186,0.7105061135171848,0.7172644846322707,Ridge
51,0.7105438980449961,0.701076307855304,0.7165540848735317,XGBoost
52,0.7365122083889597,0.7365121925392524,0.7365122579008749,GPR
52,0.7745328464143921,0.766273577713857,0.7810777577820106,Random Forest
52,0.7296426519161563,0.7284861279200744,0.7317317468133444,Ridge
52,0.7211038489188013,0.7145061368693266,0.7299626700067867,XGBoost
53,0.7463061257363967,0.7463060815698994,0.7463061572739211,GPR
53,0.7834325419878482,0.7676375944310935,0.7906904211475012,Random Forest
53,0.7407066686958101,0.737127009793902,0.7431303082463914,Ridge
53,0.734518045391461,0.7273297179040146,0.7482953202827258,XGBoost
54,0.7325624013142407,0.7325623364584953,0.7325624835047378,GPR
54,0.7721568751921579,0.7633284408672699,0.786268829613143,Random Forest
54,0.7302175635512222,0.7264357187444805,0.7338665286632184,Ridge
54,0.7247615278237902,0.7178853247672357,0.7332310552826445,XGBoost
55,0.7439723989423062,0.7439722780462881,0.743972537842344,GPR
55,0.7877933573098683,0.7772166098316606,0.7931007908714615,Random Forest
55,0.7436962830465563,0.7426391421228766,0.7442499386971398,Ridge
55,0.7324859032855858,0.7278828611024717,0.7364815449267159,XGBoost
56,0.7562633995778141,0.7562633783451145,0.7562634415239288,GPR
56,0.7945864483711632,0.7903412864692613,0.7975271496098347,Random Forest
56,0.7478631781202161,0.7422707856465124,0.7494243849137048,Ridge
56,0.7440831621072066,0.7407407849298968,0.759845928173054,XGBoost
57,0.7700916174339933,0.7700915745124017,0.7700916537515312,GPR
57,0.7947455727111503,0.7846746693808904,0.8101335133048759,Random Forest
57,0.7453582167300901,0.7399863238589537,0.747322064178307,Ridge
57,0.7564950210475108,0.7407100818957112,0.761687259680284,XGBoost
