n_total,median,q25,q75,model
33,4.696483669847089,4.5856647224675084,4.787540775054915,Random Forest
33,5.977215652760001,5.898486065665052,6.034206140534881,Ridge
33,5.305706580872987,5.1569999360572085,5.405120124339718,XGBoost
34,6.962200518536177,6.962199890661648,6.962201542902344,GPR
34,4.796212801749028,4.5914336934747855,5.026110251824856,Random Forest
34,5.882507108270346,5.7782820106928545,5.951709014195348,Ridge
34,5.209044632413769,5.1865229192811615,5.397991790984687,XGBoost
35,7.045071509485792,7.045070537929632,7.045072385256386,GPR
35,4.760371416351571,4.625070720256545,4.82855680109939,Random Forest
35,5.686680901883085,5.583522525515694,5.8437140673697705,Ridge
35,5.260454023675327,5.230388548073679,5.391619469158262,XGBoost
36,6.956810660689877,6.9568087824003655,6.956812471595623,GPR
36,4.6283216263072235,4.56263174166528,4.672859112970651,Random Forest
36,5.677295769258212,5.632160674133306,5.95308055566514,Ridge
36,5.210538325855694,5.174122120334686,5.2582641974100985,XGBoost
37,6.878981934328553,6.878978153139896,6.878984887352998,GPR
37,4.425625783633219,4.384176735130949,4.541755564123696,Random Forest
37,5.770977391883241,5.585223930343943,5.900210680052544,Ridge
37,5.070710747382744,4.963532229195703,5.264307756654253,XGBoost
38,6.901059133973808,6.9010562354935265,6.901071322718461,GPR
38,4.364924223908428,4.306194489446212,4.492843722170949,Random Forest
38,5.740657266253192,5.628595493821834,5.885189543060433,Ridge
38,5.030536581871162,4.934172496444283,5.080424962827474,XGBoost
39,6.843192850365881,6.84318963043622,6.843200663107815,GPR
39,4.295137160399275,4.20110895967255,4.398771941067565,Random Forest
39,5.714521795463686,5.609528625635423,5.885807500121135,Ridge
39,4.86648724855185,4.825303505999115,4.972010288321668,XGBoost
40,6.774647420415156,6.774645718946043,6.774651539058752,GPR
40,4.447356258218861,4.359326474675148,4.689730662395206,Random Forest
40,5.706982404487942,5.509500792674394,5.898099403438509,Ridge
40,5.020730843690235,4.829888295565163,5.100787301087765,XGBoost
41,6.824939117352388,6.824936316809764,6.824941533768399,GPR
41,4.482651145843668,4.37487403884926,4.5423290373926095,Random Forest
41,5.670271822022242,5.522898217943117,5.808196097795946,Ridge
41,4.893551735032041,4.7739847883159285,4.929051029930471,XGBoost
42,6.647101601362191,6.647088566812493,6.647109017962249,GPR
42,4.438937499920667,4.353895778183023,4.49951834674296,Random Forest
42,5.627686232068102,5.4256111456554015,5.79851050538886,Ridge
42,4.952232603916812,4.906187008261307,4.995567144875897,XGBoost
43,6.548440232971188,6.548439030885287,6.548443359650042,GPR
43,4.454957517953697,4.2875527349356775,4.542258979632776,Random Forest
43,4.806808163434093,4.768916515652625,4.907287920171603,Ridge
43,4.71817081797303,4.658188333609428,4.787329287615956,XGBoost
44,5.780606023913269,5.780599846913931,5.879971975311635,GPR
44,4.353720596698647,4.289806946790027,4.378543301357699,Random Forest
44,4.750863435835552,4.6878172497304025,4.819770191107803,Ridge
44,4.569169200018283,4.474093804263472,4.665125423582208,XGBoost
45,4.609433900023982,4.60943291319441,4.609438969015747,GPR
45,4.307892418990111,4.236512911496229,4.367502011628872,Random Forest
45,4.6884454555418245,4.631959554031417,4.748846506310584,Ridge
45,4.683612641887279,4.574390448365634,4.792865561039969,XGBoost
46,4.146388977516787,4.146388510465423,4.1463891697074455,GPR
46,4.253076970285358,4.215945444039432,4.409827754638874,Random Forest
46,4.798113972325033,4.7549396891673315,4.825422610902321,Ridge
46,4.848512790834592,4.808684371566947,4.987468350165205,XGBoost
47,4.154863781631374,4.154863702161084,4.154864136492342,GPR
47,4.275218046975697,4.209456736608515,4.398051965483353,Random Forest
47,4.707017524801305,4.689426024511974,4.7221855096372485,Ridge
47,4.68530463392973,4.64035812785632,4.862989347821903,XGBoost
48,4.534911893370333,4.534910906804624,4.534913218099913,GPR
48,4.176391839088904,4.137662728624079,4.335224962012037,Random Forest
48,4.686469676392556,4.670409684022025,4.7643657792703,Ridge
48,4.808343764447382,4.745488533799281,4.912462448956008,XGBoost
49,4.496248819286034,4.496248363437118,4.496249339854415,GPR
49,4.214786164654322,4.142683502800602,4.323893688886211,Random Forest
49,4.620620493442296,4.585101209299274,4.6549667471508975,Ridge
49,4.818234077878552,4.804964914467361,4.832388115893922,XGBoost
50,4.682594453410307,4.682594205135797,4.682594908545188,GPR
50,4.273697799237519,4.195958579292517,4.386457607457727,Random Forest
50,4.727057951621312,4.6970611180839015,4.786380069916227,Ridge
50,4.848791813969958,4.8094885652151325,4.8876813152358185,XGBoost
51,4.558370670900692,4.558370383134664,4.558370820205847,GPR
51,4.265186193427881,4.204427866604675,4.295462866848849,Random Forest
51,4.641815624972784,4.613329591309778,4.668140131226472,Ridge
51,4.6678146535354195,4.619113621515736,4.743543591659635,XGBoost
52,4.5087811493681365,4.508780725746233,4.508781284977571,GPR
52,4.170717268883616,4.109813909441366,4.246442781238076,Random Forest
52,4.567177969169439,4.54949840498545,4.5769365782816225,Ridge
52,4.6387033113709775,4.56447437071855,4.693261867985562,XGBoost
53,4.469901769182913,4.469901491348773,4.4699021582736975,GPR
53,4.129800612262539,4.060103345794335,4.2778358665949945,Random Forest
53,4.518949311512046,4.4977922306592015,4.550047722750305,Ridge
53,4.572552021647015,4.452319084027623,4.634062188457347,XGBoost
