part,step_id,variant,model,seed,cv,subset,target,train_mode,test_domain,n_added,n,n_total,n_groups,n_test,R2,RMSE,MAE
loocv_ref,OFAT|LOOCV,,GPR,45,LOOCV,OFAT,Thickness_mean,,all,,,42,24,42,0.24957290581526803,6.541490992033036,3.9991397041179484
loocv_ref,OFAT|LOOCV,,GPR,46,LOOCV,OFAT,Thickness_mean,,all,,,42,24,42,0.24958381962406806,6.54144342389345,3.9991247935681056
loocv_ref,OFAT|LOOCV,,GPR,47,LOOCV,OFAT,Thickness_mean,,all,,,42,24,42,0.24957681352916583,6.541473960192943,3.9991337566746687
loocv_ref,OFAT|LOOCV,,GPR,48,LOOCV,OFAT,Thickness_mean,,all,,,42,24,42,0.24957803759385555,6.541468625076235,3.9991411834890407
loocv_ref,OFAT|LOOCV,,GPR,49,LOOCV,OFAT,Thickness_mean,,all,,,42,24,42,0.24958855893672605,6.5414227673595295,3.999117307410315
loocv_ref,OFAT|LOOCV,,GPR,50,LOOCV,OFAT,Thickness_mean,,all,,,42,24,42,0.2495741631531606,6.541485511908446,3.999137722210862
loocv_ref,OFAT|LOOCV,,GPR,51,LOOCV,OFAT,Thickness_mean,,all,,,42,24,42,0.24957086020444574,6.541499907846278,3.9991422807650165
loocv_ref,OFAT|LOCO,,Ridge,42,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.4088206312525091,5.806068154268399,3.8387063724892414
loocv_ref,OFAT|LOCO,,Ridge,43,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.40087230285920195,5.844968746563621,3.990847699394448
loocv_ref,OFAT|LOCO,,Ridge,44,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.38802423275982734,5.907307897225572,3.919765587034826
loocv_ref,OFAT|LOCO,,Ridge,45,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.49719247942081235,5.35455491806264,3.7461393474713405
loocv_ref,OFAT|LOCO,,Ridge,46,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.4149608202354509,5.7758375587502435,3.907306449754228
loocv_ref,OFAT|LOCO,,Ridge,47,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.45395522903322905,5.5800311202453985,4.17951371523168
loocv_ref,OFAT|LOCO,,Ridge,48,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.48454909830323556,5.421458611055055,3.599164044239307
loocv_ref,OFAT|LOCO,,Ridge,49,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.48138580701342004,5.43806874945644,3.712768130522133
loocv_ref,OFAT|LOCO,,Ridge,50,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.48888256469053304,5.398621037238794,3.947440275785889
loocv_ref,OFAT|LOCO,,Ridge,51,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.4351423886647552,5.675341343890804,3.6911660829649473
loocv_ref,OFAT|LOCO,,Random Forest,42,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.6437130210326427,4.507362322971005,3.2782591576107585
loocv_ref,OFAT|LOCO,,Random Forest,43,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.574887088408091,4.923507939238718,3.293462398106532
loocv_ref,OFAT|LOCO,,Random Forest,44,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.6514278654003652,4.458295265943101,3.168926690450872
