n_added,n_total,n_groups,mean_abs_corr,cond_num,det_XtX
0,42,24,0.43047071453262575,20.019598822452778,456537150.14159346
1,43,25,0.36731219096657997,17.14962311440132,904864614.9112699
2,44,26,0.35090424734853154,16.1839947201794,1237347181.628944
3,45,27,0.31317463954778135,15.763785521210997,1437888593.554026
4,46,28,0.32829313708561697,9.203681229543813,2536243914.2934475
5,47,29,0.3086153593527152,7.1909209999019525,3464853623.8269014
6,48,30,0.29420706236232286,7.13740220880463,4304608914.122409
7,49,31,0.29006710022911775,6.339893587660057,5269425530.817407
8,50,32,0.29987287458844464,6.4317374423615075,5883937952.010904
9,51,33,0.2929430468522499,6.853074550827401,6144706580.7618475
10,52,34,0.2850399465281724,6.823307536521194,6941055407.671468
11,53,35,0.2820758350979103,6.496581546569784,8143977814.966679
12,54,36,0.26519625728232044,6.360492314160574,9587274034.903742
13,55,37,0.26155221478298774,6.220866206132676,10999481000.266888
14,56,38,0.2729386079220052,5.968588756964094,12376934280.70324
15,57,39,0.2671147356266369,5.855765191186046,14156231532.423119
