model,subset,cv,seed,R2,RMSE,MAE
GPR,Augmented,LOCO,42,0.7700915653174387,4.265459418262451,2.9769287684854358
GPR,Augmented,LOCO,43,0.770091673693011,4.265458412923824,2.9769285880881657
GPR,Augmented,LOCO,44,0.7700915759875993,4.265459319281443,2.976929114327667
GPR,Augmented,LOCO,45,0.7700916578456584,4.265458559930728,2.976928350205096
GPR,Augmented,LOCO,46,0.7700916810910714,4.265458344296211,2.9769285887576307
GPR,Augmented,LOCO,47,0.7700915947174354,4.265459145535406,2.976928669675816
GPR,Augmented,LOCO,48,0.7700916401505513,4.265458724078196,2.976928071653083
GPR,Augmented,LOCO,49,0.77009164146915,4.265458711846305,2.9769281301416526
GPR,Augmented,LOCO,50,0.7700915731806128,4.2654593453202585,2.9769285381630723
GPR,Augmented,LOCO,51,0.7700915740206693,4.265459337527534,2.976928837926376
Random Forest,Augmented,LOCO,42,0.7766843090223532,4.20385745762922,3.15605816535821
Random Forest,Augmented,LOCO,43,0.795195859601908,4.025851287305188,2.7965283485771635
Random Forest,Augmented,LOCO,44,0.8181063151137753,3.793998656094588,2.6441167185760976
Random Forest,Augmented,LOCO,45,0.7818336182420252,4.1551076186230045,2.9328866230022363
Random Forest,Augmented,LOCO,46,0.7998276819955155,3.980066892804049,2.798218345993239
Random Forest,Augmented,LOCO,47,0.8155602636159395,3.820459573629054,2.6395052508979244
Random Forest,Augmented,LOCO,48,0.7942952858203925,4.034692903528765,2.874654376029509
Random Forest,Augmented,LOCO,49,0.7919788710875961,4.057346390438207,2.8247082857168637
Random Forest,Augmented,LOCO,50,0.8135687904079961,3.841029748874941,2.6424407536067744
Random Forest,Augmented,LOCO,51,0.7822399354786551,4.151236539491818,2.983771716406938
Ridge,Augmented,LOCO,42,0.7353482946919014,4.576418267650208,3.299000492429795
Ridge,Augmented,LOCO,43,0.7382550525735917,4.551216713799636,3.242723087082493
Ridge,Augmented,LOCO,44,0.7477189074038499,4.468180549783916,3.138659208303839
Ridge,Augmented,LOCO,45,0.7461315345016785,4.482215582505086,3.215259599233315
Ridge,Augmented,LOCO,46,0.7453658817807971,4.488969546414577,3.135227425071915
Ridge,Augmented,LOCO,47,0.7451801377150395,4.490606498016221,3.1575865366714577
Ridge,Augmented,LOCO,48,0.7517687301488521,4.432172008420419,3.0539713753471727
Ridge,Augmented,LOCO,49,0.745350551679383,4.48910467230254,3.190519400747212
Ridge,Augmented,LOCO,50,0.7365710621614503,4.5658338393021936,3.274871858326751
