part,step_id,variant,model,seed,cv,subset,target,train_mode,test_domain,n_added,n,n_total,n_groups,n_test,R2,RMSE,MAE
dopt,n_added=0,,GPR,49,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.22516021640816486,6.647042419586783,4.260268318600741
dopt,n_added=0,,GPR,50,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.22514582043325648,6.647104167972354,4.2602892138703305
dopt,n_added=0,,GPR,51,LOCO,dopt,Thickness_mean,,all,0,,42,24,42,0.22514250380068412,6.647118393861035,4.260293879912472
dopt,n_added=1,,Ridge,42,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6009097069341112,4.79674347597207,3.3285664655039966
dopt,n_added=1,,Ridge,43,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.606460787796377,4.763266901464674,3.2126985163572526
dopt,n_added=1,,Ridge,44,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.5938870195397792,4.838762950183118,3.4831960573490806
dopt,n_added=1,,Ridge,45,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.5784055885939827,4.930129576834431,3.666351795096732
dopt,n_added=1,,Ridge,46,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.5975531404608928,4.816872850896117,3.5243473654221904
dopt,n_added=1,,Ridge,47,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.5563769048566201,5.057291477551081,3.8155089658080117
dopt,n_added=1,,Ridge,48,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6211279635458951,4.673660777541993,3.168785635700513
dopt,n_added=1,,Ridge,49,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6027177788221382,4.785865358216477,3.3689946838517084
dopt,n_added=1,,Ridge,50,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.5517831147652987,5.083408582343103,3.6302036380195526
dopt,n_added=1,,Ridge,51,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6127946396432129,4.724780004246363,3.330530815256076
dopt,n_added=1,,Random Forest,42,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6500697676158527,4.491605901427604,3.302662755830111
dopt,n_added=1,,Random Forest,43,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6331612783624649,4.598842083164267,3.327914307682619
dopt,n_added=1,,Random Forest,44,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.693616287222707,4.2028486281085184,3.0859966186403502
dopt,n_added=1,,Random Forest,45,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6613973325141687,4.41830913447979,3.2621751227427978
dopt,n_added=1,,Random Forest,46,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6922280185006338,4.212359722424755,3.076988085601334
dopt,n_added=1,,Random Forest,47,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6724648155275736,4.3455013680551255,3.19349037843737
dopt,n_added=1,,Random Forest,48,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6420829554338916,4.542574948481323,3.405023677605071
dopt,n_added=1,,Random Forest,49,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6383029111746942,4.566499535728221,3.379283001095219
dopt,n_added=1,,Random Forest,50,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6840086944508608,4.268236523895862,3.0999729201348
dopt,n_added=1,,Random Forest,51,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6422820934209417,4.541311073087136,3.4676678006721335
dopt,n_added=1,,XGBoost,42,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6329753656723295,4.60000727477918,3.3875578068577963
dopt,n_added=1,,XGBoost,43,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.5991696151062404,4.807189352207348,3.6675875592786213
dopt,n_added=1,,XGBoost,44,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6238812533810063,4.6566479013384106,3.548778922945954
dopt,n_added=1,,XGBoost,45,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.600222936989681,4.80086891237544,3.59089065041653
dopt,n_added=1,,XGBoost,46,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6091918140848457,4.746710413337506,3.5038397695851877
dopt,n_added=1,,XGBoost,47,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.5963954691044846,4.823795940418821,3.741137126656466
dopt,n_added=1,,XGBoost,48,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6135583906256072,4.7201179606146715,3.545862909361374
dopt,n_added=1,,XGBoost,49,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6141957870118205,4.716223675331388,3.5774168617780817
dopt,n_added=1,,XGBoost,50,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.6228852256941408,4.66280963042248,3.5681928193291954
dopt,n_added=1,,XGBoost,51,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.624285400285443,4.654145399566845,3.52550063754237
dopt,n_added=1,,GPR,42,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.25620177391869536,6.548449464102905,4.363789247425224
dopt,n_added=1,,GPR,43,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.2562042119511059,6.548438731793688,4.363772266584372
dopt,n_added=1,,GPR,44,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.25620797689592156,6.5484221583322295,4.363766766289275
dopt,n_added=1,,GPR,45,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.2562039044931108,6.54844008523617,4.363769338346387
dopt,n_added=1,,GPR,46,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.25620394017567805,6.548439928160086,4.363772870594223
dopt,n_added=1,,GPR,47,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.25620383737194563,6.548440380706207,4.363773195612528
dopt,n_added=1,,GPR,48,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.2562067794808588,6.548427429413344,4.3637648094894645
dopt,n_added=1,,GPR,49,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.25620146762948415,6.548450812398144,4.363780936432906
dopt,n_added=1,,GPR,50,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.25620301187646366,6.548444014569031,4.363774729237963
dopt,n_added=1,,GPR,51,LOCO,dopt,Thickness_mean,,all,1,,43,25,43,0.2562036069817115,6.5484413948930715,4.363773215355385
dopt,n_added=2,,Ridge,42,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6069284658673024,4.919652413691669,3.6028860055733145
dopt,n_added=2,,Ridge,43,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6197888195977626,4.838503557142275,3.4506494414190017
dopt,n_added=2,,Ridge,44,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6553531595880211,4.606655903641829,3.254831087781258
dopt,n_added=2,,Ridge,45,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6314742199746772,4.763570093004385,3.4398309547731145
dopt,n_added=2,,Ridge,46,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6372195031081868,4.726292422848243,3.304517351222924
dopt,n_added=2,,Ridge,47,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6450521630898407,4.674992192024456,3.2809900866562343
dopt,n_added=2,,Ridge,48,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6531048768876296,4.621657098360128,3.3241138582443144
dopt,n_added=2,,Ridge,49,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.603091718776001,4.94360431981053,3.690157445391466
dopt,n_added=2,,Ridge,50,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.631635446437533,4.762527971100984,3.3708357161348506
dopt,n_added=2,,Ridge,51,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6352354483599144,4.739198900570121,3.28925670278168
dopt,n_added=2,,Random Forest,42,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.7031236126828377,4.275495475217246,3.0947238696935107
dopt,n_added=2,,Random Forest,43,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6942289507150541,4.339071481479174,3.126352465289006
dopt,n_added=2,,Random Forest,44,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.7038641087824569,4.270159981139016,3.116036831824949
dopt,n_added=2,,Random Forest,45,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6885616316305938,4.379098163899256,3.165879387067697
dopt,n_added=2,,Random Forest,46,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6951204573739974,4.33274136150837,3.1932247892084926
dopt,n_added=2,,Random Forest,47,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.7036403328887353,4.271773055482508,3.1200412719382906
dopt,n_added=2,,Random Forest,48,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.661787570989387,4.563451136779172,3.4599151153374055
dopt,n_added=2,,Random Forest,49,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6888772430862948,4.37687871373303,3.28387936417362
dopt,n_added=2,,Random Forest,50,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6755511681534124,4.469631616038222,3.2897319441821096
dopt,n_added=2,,Random Forest,51,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6900857621940992,4.3683697119181195,3.3141076788529733
dopt,n_added=2,,XGBoost,42,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.7078333996439605,4.241445651825671,3.0414572004838423
dopt,n_added=2,,XGBoost,43,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6468507835238433,4.663132399135781,3.614627765742215
dopt,n_added=2,,XGBoost,44,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6816834134685485,4.4271909847768915,3.3041364448720754
dopt,n_added=2,,XGBoost,45,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6558338647647427,4.603442155853313,3.533942193118009
dopt,n_added=2,,XGBoost,46,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6669355744387228,4.52858732962747,3.2988946535370562
dopt,n_added=2,,XGBoost,47,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6660069233937673,4.534896244183254,3.4003858655149286
dopt,n_added=2,,XGBoost,48,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6464481725704394,4.665789765064351,3.553828677697615
dopt,n_added=2,,XGBoost,49,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6210390167188401,4.830542107929649,3.769549668918956
dopt,n_added=2,,XGBoost,50,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6775374111789878,4.455929295808805,3.2588930474628097
dopt,n_added=2,,XGBoost,51,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.6295800227442159,4.7757966140325046,3.7542601654746317
dopt,n_added=2,,GPR,42,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.4396396867507574,5.873977891949186,4.254727127640886
dopt,n_added=2,,GPR,43,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.43655430175578125,5.890126969568557,4.294141573656165
dopt,n_added=2,,GPR,44,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.43568519550021045,5.894667933925368,4.300166788047415
dopt,n_added=2,,GPR,45,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.4573139680879309,5.7806003477592265,4.102446225269816
dopt,n_added=2,,GPR,46,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.4702068166420984,5.7115213687541315,3.964426801154335
dopt,n_added=2,,GPR,47,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.4573140934736297,5.780599679965499,4.102442064658142
dopt,n_added=2,,GPR,48,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.4876972849832738,5.616450707465574,3.8351910350253955
dopt,n_added=2,,GPR,49,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.45731275405957617,5.780606813568545,4.10245251359878
dopt,n_added=2,,GPR,50,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.45731305059300387,5.780605234257994,4.102450687082861
dopt,n_added=2,,GPR,51,LOCO,dopt,Thickness_mean,,all,2,,44,26,44,0.4381138013358856,5.881970003099119,4.270571409094618
dopt,n_added=3,,Ridge,42,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6471630575550474,4.761417749374917,3.356477637198418
dopt,n_added=3,,Ridge,43,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6511303596250877,4.734573362288537,3.3871013419446916
dopt,n_added=3,,Ridge,44,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6733985051748571,4.580979471797571,3.237428005005793
dopt,n_added=3,,Ridge,45,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6728479837094425,4.58483870961864,3.19469743531229
dopt,n_added=3,,Ridge,46,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6570260930336209,4.694396862651408,3.348560298270441
dopt,n_added=3,,Ridge,47,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6634275217252913,4.6503812815364585,3.3683807101596837
dopt,n_added=3,,Ridge,48,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6669735376632491,4.625818978196404,3.347161959498415
dopt,n_added=3,,Ridge,49,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6483201244465358,4.7536042209846,3.400329577449463
dopt,n_added=3,,Ridge,50,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6255982976761949,4.904764603352465,3.5852484268281843
dopt,n_added=3,,Ridge,51,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6587631337382842,4.6824940484322415,3.267794892170927
dopt,n_added=3,,Random Forest,42,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.702038377347457,4.375517517764199,3.1135655065628605
dopt,n_added=3,,Random Forest,43,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.7120231544574147,4.301580420163198,3.102842143601814
dopt,n_added=3,,Random Forest,44,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.7240950199335097,4.210455011792624,3.071228111857598
dopt,n_added=3,,Random Forest,45,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.7103304028813953,4.314204417817025,3.1186800987286696
dopt,n_added=3,,Random Forest,46,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6949864738837954,4.426992753131295,3.1685744423141076
dopt,n_added=3,,Random Forest,47,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6694667236990002,4.608470966664721,3.3685629976016216
dopt,n_added=3,,Random Forest,48,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.7134848199793073,4.290649905387674,3.1065985389976825
dopt,n_added=3,,Random Forest,49,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.706389063468871,4.343455493222893,3.1943393144043317
dopt,n_added=3,,Random Forest,50,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.7312401050805719,4.155578521110932,2.9660278644861604
dopt,n_added=3,,Random Forest,51,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.7230439606612094,4.218467246865747,3.096860748238527
dopt,n_added=3,,XGBoost,42,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6697515886272719,4.606484669338986,3.5636880201763574
dopt,n_added=3,,XGBoost,43,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6826649552188884,4.515525295719441,3.437829918543497
dopt,n_added=3,,XGBoost,44,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6472634063358398,4.760740614435574,3.6971500684950085
dopt,n_added=3,,XGBoost,45,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6453350994884017,4.773735660525095,3.6953627548217765
dopt,n_added=3,,XGBoost,46,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6722653782131067,4.588919326477056,3.5234450734456377
dopt,n_added=3,,XGBoost,47,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6415349561406514,4.799242194544927,3.7177410572899707
dopt,n_added=3,,XGBoost,48,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6750265604442605,4.569547488995159,3.4477427755991616
dopt,n_added=3,,XGBoost,49,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6070614114038542,5.024716946367271,3.9952534440358476
dopt,n_added=3,,XGBoost,50,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6800733092088802,4.533926740469393,3.3851387549506287
dopt,n_added=3,,XGBoost,51,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6278841349046747,4.889769134184342,3.828605962753296
dopt,n_added=3,,GPR,42,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6693285635588139,4.6094340171649275,3.4426606387017475
dopt,n_added=3,,GPR,43,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6693286889936276,4.609433142908055,3.4426556774815267
dopt,n_added=3,,GPR,44,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.7177563772330443,4.2585458798686,3.2028314563031404
dopt,n_added=3,,GPR,45,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6440276854971466,4.782526363420046,3.5786601951936734
dopt,n_added=3,,GPR,46,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6106028788174727,5.002022371627611,3.617314773380194
dopt,n_added=3,,GPR,47,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6693285971726275,4.609433782883035,3.442659919006518
dopt,n_added=3,,GPR,48,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6693276694811603,4.6094402487118815,3.4426640305797256
dopt,n_added=3,,GPR,49,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6693284039041625,4.609435129927342,3.4426591860753644
dopt,n_added=3,,GPR,50,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6693287329381257,4.609432836623195,3.442659691780254
dopt,n_added=3,,GPR,51,LOCO,dopt,Thickness_mean,,all,3,,45,27,45,0.6693304999018992,4.609420521202216,3.4426540124149936
dopt,n_added=4,,Ridge,42,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6737934709609815,4.7515643247267345,3.421796659909891
dopt,n_added=4,,Ridge,43,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6630621719427161,4.829088608952887,3.447300596932627
dopt,n_added=4,,Ridge,44,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6803087238246953,4.7038740102989065,3.29619217495357
dopt,n_added=4,,Ridge,45,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.665716230690047,4.8100316451105884,3.437342701857347
dopt,n_added=4,,Ridge,46,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6690210021515812,4.786196299539477,3.4258764393304584
dopt,n_added=4,,Ridge,47,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6475946977627325,4.938687030855915,3.734675674388796
dopt,n_added=4,,Ridge,48,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.675386894542267,4.739945116555428,3.4567847956846203
dopt,n_added=4,,Ridge,49,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6497763069096189,4.923376518448822,3.712459941024693
dopt,n_added=4,,Ridge,50,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6651053533353004,4.8144246167506255,3.4323531490289536
dopt,n_added=4,,Ridge,51,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.671937020883576,4.765065782489118,3.394523710932238
dopt,n_added=4,,Random Forest,42,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.7033070801292477,4.531519776256679,3.3571482731003264
dopt,n_added=4,,Random Forest,43,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.739732280150524,4.244244963827772,3.0621977684730273
dopt,n_added=4,,Random Forest,44,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.7366037370471621,4.269677696055018,3.1747268237822586
dopt,n_added=4,,Random Forest,45,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.7077325958965615,4.4975963875574285,3.3102394595318994
dopt,n_added=4,,Random Forest,46,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.7426038127733648,4.220766657072696,3.070627808187758
dopt,n_added=4,,Random Forest,47,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.7433872513932948,4.214338373028344,3.0518378746484007
dopt,n_added=4,,Random Forest,48,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.7442007195527387,4.207653297355771,3.1226894681621578
dopt,n_added=4,,Random Forest,49,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.7130436056688388,4.4565444408334915,3.3403405542977778
dopt,n_added=4,,Random Forest,50,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.7375613690714393,4.261908976742943,3.1753736977177875
dopt,n_added=4,,Random Forest,51,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.74967185238296,4.162412634807371,3.035046977819974
dopt,n_added=4,,XGBoost,42,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6284798360348729,5.070858398069449,3.8376392082546067
dopt,n_added=4,,XGBoost,43,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6713560294422738,4.769283322988223,3.684693688517031
dopt,n_added=4,,XGBoost,44,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6590304947134877,4.857894266971714,3.672385740072831
dopt,n_added=4,,XGBoost,45,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6616593043526919,4.839131314697471,3.6962430174454397
dopt,n_added=4,,XGBoost,46,LOCO,dopt,Thickness_mean,,all,4,,46,28,46,0.6623023530924048,4.834530512448644,3.6915175091702004
