part,model,subset,cv,step,metric,point,lo,hi,median_boot,n_groups,n_rows,B_total,n_seeds
dopt,GPR,all,LOCO,0,R2,0.22514641881348157,-1.0071306399412334,0.694283650874022,0.20836180601970045,24,42,20000,10
dopt,GPR,all,LOCO,0,RMSE,6.647101601362191,3.864909905709461,9.598876554519205,6.534607915501798,24,42,20000,10
dopt,GPR,all,LOCO,0,MAE,4.260289525173054,2.899995048608065,6.281842857057827,4.208919063776904,24,42,20000,10
dopt,GPR,all,LOCO,1,R2,0.2562038709325281,-0.8681440953935988,0.6759820149094773,0.2416932314150585,25,43,20000,10
dopt,GPR,all,LOCO,1,RMSE,6.548440232971188,4.073135666531441,9.265508955030395,6.432956223709646,25,43,20000,10
dopt,GPR,all,LOCO,1,MAE,4.363773033103376,3.0403956232858356,6.200428951452718,4.318608527128468,25,43,20000,10
dopt,GPR,all,LOCO,2,R2,0.45731290232628996,-0.12446258401664892,0.6972958028420557,0.4379356980823469,26,44,20000,10
dopt,GPR,all,LOCO,2,RMSE,5.78060602391327,3.9920147078235275,7.839517392867249,5.742949325104783,26,44,20000,10
dopt,GPR,all,LOCO,2,MAE,4.102451600340821,3.030163868876844,5.6648939828722575,4.113166567451922,26,44,20000,10
dopt,GPR,all,LOCO,3,R2,0.6693285803657207,0.42077476738200925,0.8056345047659157,0.6528943688268809,27,45,20000,10
dopt,GPR,all,LOCO,3,RMSE,4.609433900023982,3.2836678588442525,6.16475106822835,4.555286261629714,27,45,20000,10
dopt,GPR,all,LOCO,3,MAE,3.4426598053933857,2.632847640719861,4.476059806568869,3.4197935042943595,27,45,20000,10
dopt,GPR,all,LOCO,4,R2,0.7515954731663498,0.5837052360415477,0.8662981364309921,0.7424581773052382,28,46,20000,10
dopt,GPR,all,LOCO,4,RMSE,4.146388977516786,2.9840549943940373,5.470016653502808,4.064704098493588,28,46,20000,10
dopt,GPR,all,LOCO,4,MAE,3.101069629837766,2.399823319325135,3.9083090000943543,3.073649212532728,28,46,20000,10
dopt,GPR,all,LOCO,5,R2,0.7590765416470822,0.5993470861645611,0.8692911612121099,0.7504355295823171,29,47,20000,10
dopt,GPR,all,LOCO,5,RMSE,4.154863781631374,3.0147299322718966,5.444534458305004,4.073314965715428,29,47,20000,10
dopt,GPR,all,LOCO,5,MAE,3.150450861696391,2.4526295690785216,3.9343025531910496,3.1259017186248563,29,47,20000,10
dopt,GPR,all,LOCO,6,R2,0.7170916108562599,0.5362856604623659,0.844458101651391,0.7096666207698161,30,48,20000,10
dopt,GPR,all,LOCO,6,RMSE,4.534911893370333,3.2569720729417675,6.107043587918788,4.441485564820883,30,48,20000,10
dopt,GPR,all,LOCO,6,MAE,3.4148679163923386,2.6882129810010422,4.352680263509981,3.385596952092272,30,48,20000,10
dopt,GPR,all,LOCO,7,R2,0.7244322821525447,0.5498018063258348,0.849423649131941,0.7168281367999508,31,49,20000,10
dopt,GPR,all,LOCO,7,RMSE,4.496248819286035,3.217938445304823,6.033280905925553,4.405431324447028,31,49,20000,10
dopt,GPR,all,LOCO,7,MAE,3.3593360329437245,2.628249133250582,4.253258641742622,3.331548121413102,31,49,20000,10
dopt,GPR,all,LOCO,8,R2,0.7002470588767833,0.5299434663328302,0.8244362375360983,0.692802320659467,32,50,20000,10
dopt,GPR,all,LOCO,8,RMSE,4.682594453410307,3.4258791603115495,6.168819400819788,4.585434607710047,32,50,20000,10
